%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1658627669637158832,16935,1658627669599700950,gps,2,0,37.2407022,126.7741287,28.748,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000441,2
1658627669734852850,16936,1658627669699700936,gps,2,0,37.240704,126.7741298,28.756,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.0004,2
1658627669835161397,16937,1658627669799700922,gps,2,0,37.2407055,126.7741308,28.759,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000361,2
1658627669933406351,16938,1658627669899700908,gps,2,0,37.2407071,126.774132,28.769,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627670070594992,16939,1658627669999700895,gps,2,0,37.2407088,126.7741331,28.755,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627670245182901,16940,1658627670199700866,gps,2,0,37.240712,126.7741351,28.755,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000441,2
1658627670345411325,16941,1658627670299700852,gps,2,0,37.2407137,126.7741362,28.769,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000361,2
1658627670534544409,16942,1658627670499700824,gps,2,0,37.240717,126.7741382,28.767,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000441,2
1658627670635924488,16943,1658627670599700810,gps,2,0,37.2407186,126.7741391,28.781,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000361,2
1658627670733247233,16944,1658627670699700796,gps,2,0,37.2407203,126.7741402,28.766,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627670832987727,16945,1658627670799700782,gps,2,0,37.2407221,126.7741411,28.756,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627670928306049,16946,1658627670899700768,gps,2,0,37.2407238,126.774142,28.765,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627671075859163,16947,1658627670999700755,gps,2,0,37.2407255,126.774143,28.752,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627671235144400,16948,1658627671199700726,gps,2,0,37.240729,126.7741448,28.752,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000441,2
1658627671345313360,16949,1658627671299700712,gps,2,0,37.2407307,126.7741458,28.754,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000361,2
1658627671533176630,16950,1658627671499700684,gps,2,0,37.2407341,126.7741478,28.757,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000441,2
1658627671634357377,16951,1658627671599700670,gps,2,0,37.2407358,126.7741488,28.735,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000361,2
1658627671731285674,16952,1658627671699700655,gps,2,0,37.2407376,126.7741497,28.744,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627671829463057,16953,1658627671799700641,gps,2,0,37.2407394,126.7741506,28.749,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627671929293557,16954,1658627671899700627,gps,2,0,37.2407411,126.7741518,28.743,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
